effective_from,effective_to,index,action,symbol_name,source_url,source_type,status
2012-10-01,2012-12-31,IMKB100,IN,ZORLU ENERJI,https://www.borsaistanbul.com/datum/duyuru_ekleri/Gnmek3959-ENG.pdf,Borsa Istanbul official,CERTIFIED
2012-10-01,2012-12-31,IMKB100,IN,ANADOLU HAYAT EMEK.,https://www.borsaistanbul.com/datum/duyuru_ekleri/Gnmek3959-ENG.pdf,Borsa Istanbul official,CERTIFIED
2012-10-01,2012-12-31,IMKB100,IN,COCA COLA ICECEK,https://www.borsaistanbul.com/datum/duyuru_ekleri/Gnmek3959-ENG.pdf,Borsa Istanbul official,CERTIFIED
2012-10-01,2012-12-31,IMKB100,IN,EGE ENDUSTRI,https://www.borsaistanbul.com/datum/duyuru_ekleri/Gnmek3959-ENG.pdf,Borsa Istanbul official,CERTIFIED
2012-10-01,2012-12-31,IMKB100,OUT,AKSIGORTA,https://www.borsaistanbul.com/datum/duyuru_ekleri/Gnmek3959-ENG.pdf,Borsa Istanbul official,CERTIFIED
2012-10-01,2012-12-31,IMKB100,OUT,KILER GIDA,https://www.borsaistanbul.com/datum/duyuru_ekleri/Gnmek3959-ENG.pdf,Borsa Istanbul official,CERTIFIED
2012-10-01,2012-12-31,IMKB100,OUT,TEKSTILBANK,https://www.borsaistanbul.com/datum/duyuru_ekleri/Gnmek3959-ENG.pdf,Borsa Istanbul official,CERTIFIED
2012-10-01,2012-12-31,IMKB100,OUT,TEK-ART TURIZM,https://www.borsaistanbul.com/datum/duyuru_ekleri/Gnmek3959-ENG.pdf,Borsa Istanbul official,CERTIFIED
